序号,学校名称,主管部门,省份,城市,985,211,双一流,类型,层次,性质,状态,id,错误信息,日期
1,北京大学,教育部,北京,北京,985,211,双一流,综合,本科,公办,,31,未找到院校标题,2026/6/15
2,中国人民大学,教育部,北京,北京,985,211,双一流,综合,本科,公办,,46,"Page.bring_to_front: Target page, context or browser has been closed",2026/6/15
3,清华大学,教育部,北京,北京,985,211,双一流,综合,本科,公办,,140,"Page.bring_to_front: Target page, context or browser has been closed",2026/6/15
4,北京交通大学,教育部,北京,北京,,211,双一流,理工,本科,公办,,38,"Page.bring_to_front: Target page, context or browser has been closed",2026/6/15
5,北京工业大学,北京市,北京,北京,,211,双一流,理工,本科,公办,,30,"Page.bring_to_front: Target page, context or browser has been closed",2026/6/15
6,北京航空航天大学,工业和信息化部,北京,北京,985,211,双一流,理工,本科,公办,,47,"Page.bring_to_front: Target page, context or browser has been closed",2026/6/15
7,北京理工大学,工业和信息化部,北京,北京,985,211,双一流,理工,本科,公办,,143,"Page.bring_to_front: Target page, context or browser has been closed",2026/6/15
8,北京科技大学,教育部,北京,北京,,211,双一流,理工,本科,公办,,144,,2026/6/15
9,北方工业大学,北京市,北京,北京,,,,理工,本科,公办,,561,年份=年份,2026/6/15
10,北京化工大学,教育部,北京,北京,,211,双一流,理工,本科,公办,,556,未找到院校标题,2026/6/15
11,北京工商大学,北京市,北京,北京,,,,财经,本科,公办,,570,,2026/6/15
12,北京服装学院,北京市,北京,北京,,,,艺术,本科,公办,,567,,2026/6/15
13,北京邮电大学,教育部,北京,北京,,211,双一流,理工,本科,公办,,48,,2026/6/15
14,北京印刷学院,北京市,北京,北京,,,,理工,本科,公办,,590,未找到院校标题,2026/6/15
15,北京建筑大学,北京市,北京,北京,,,,理工,本科,公办,,572,,2026/6/15
16,北京石油化工学院,北京市,北京,北京,,,,0,本科,公办,,580,,2026/6/15
17,北京电子科技学院,中央办公厅,北京,北京,,,,理工,本科,公办,,565,,2026/6/15
18,中国农业大学,教育部,北京,北京,985,211,双一流,农林,本科,公办,,557,,2026/6/15
19,北京农学院,北京市,北京,北京,,,,0,本科,公办,,578,年份=年份,2026/6/15
20,北京林业大学,教育部,北京,北京,,211,双一流,农林,本科,公办,,43,,2026/6/15
21,北京协和医学院,国家卫生健康委员会,北京,北京,,,双一流,医药,本科,公办,,573,年份=年份,2026/6/15
22,首都医科大学,北京市,北京,北京,,,,医药,本科,公办,,584,年份=年份,2026/6/15
23,北京中医药大学,教育部,北京,北京,,211,双一流,医药,本科,公办,,49,,2026/6/15
24,北京师范大学,教育部,北京,北京,985,211,双一流,师范,本科,公办,,52,,2026/6/15
25,首都师范大学,北京市,北京,北京,,,双一流,师范,本科,公办,,589,,2026/6/15
26,首都体育学院,北京市,北京,北京,,,,体育,本科,公办,,587,,2026/6/15
27,北京外国语大学,教育部,北京,北京,,211,双一流,语言,本科,公办,,39,,2026/6/15
28,北京第二外国语学院,北京市,北京,北京,,,,语言,本科,公办,,2614,,2026/6/15
29,北京语言大学,教育部,北京,北京,,,,语言,本科,公办,,592,,2026/6/15
30,中国传媒大学,教育部,北京,北京,,211,双一流,综合,本科,公办,,558,,2026/6/15
31,中央财经大学,教育部,北京,北京,,211,双一流,财经,本科,公办,,566,,2026/6/15
32,对外经济贸易大学,教育部,北京,北京,,211,双一流,财经,本科,公办,,53,,2026/6/15
33,北京物资学院,北京市,北京,北京,,,,财经,本科,公办,,586,,2026/6/15
34,首都经济贸易大学,北京市,北京,北京,,,,财经,本科,公办,,875,,2026/6/15
35,中国消防救援学院,应急管理部,北京,北京,,,,0,本科,公办,,3428,,2026/6/15
36,外交学院,外交部,北京,北京,,,双一流,语言,本科,公办,,581,,2026/6/15
37,中国人民公安大学,公安部,北京,北京,,,双一流,政法,本科,公办,,576,,2026/6/15
38,国际关系学院,教育部,北京,北京,,,,政法,本科,公办,,594,批次=本科提前批,2026/6/15
39,北京体育大学,国家体育总局,北京,北京,,211,双一流,体育,本科,公办,,866,,2026/6/15
40,中央音乐学院,教育部,北京,北京,,211,双一流,艺术,本科,公办,,40,,2026/6/15
41,中国音乐学院,北京市,北京,北京,,,双一流,艺术,本科,公办,,571,,2026/6/15
42,中央美术学院,教育部,北京,北京,,,双一流,艺术,本科,公办,,564,,2026/6/15
43,中央戏剧学院,教育部,北京,北京,,,双一流,艺术,本科,公办,,562,,2026/6/15
44,中国戏曲学院,北京市,北京,北京,,,,艺术,本科,公办,,574,,2026/6/15
45,北京电影学院,北京市,北京,北京,,,,艺术,本科,公办,,563,,2026/6/15
46,北京舞蹈学院,北京市,北京,北京,,,,0,本科,公办,,585,年份=年份,2026/6/15
47,中央民族大学,国家民委,北京,北京,985,211,双一流,民族,本科,公办,,45,,2026/6/15
48,中国政法大学,教育部,北京,北京,,211,双一流,政法,本科,公办,,569,,2026/6/15
49,华北电力大学,教育部,北京,北京,,211,双一流,理工,本科,公办,,831,,2026/6/15
50,中华女子学院,中华妇女联合会,北京,北京,,,,0,本科,公办,,568,,2026/6/15
51,北京信息科技大学,北京市,北京,北京,,,,理工,本科,公办,,879,,2026/6/15
52,中国矿业大学（北京）,教育部,北京,北京,,211,双一流,理工,本科,公办,,1006,,2026/6/15
53,中国石油大学（北京）,教育部,北京,北京,,211,双一流,理工,本科,公办,,832,,2026/6/15
54,中国地质大学（北京）,教育部,北京,北京,,211,双一流,理工,本科,公办,,830,,2026/6/15
55,北京联合大学,北京市,北京,北京,,,,综合,本科,公办,,575,,2026/6/15
56,中国青年政治学院,共青团中央,北京,北京,,,,0,本科,公办,,577,省份=,2026/6/15
57,首钢工学院,北京市,北京,北京,,,,0,本科,公办,,583,年份=年份,2026/6/15
58,中国劳动关系学院,中华全国总工会,北京,北京,,,,0,本科,公办,,579,,2026/6/15
59,北京警察学院,北京市,北京,北京,,,,0,本科,公办,,3042,年份=年份,2026/6/15
60,中国科学院大学,中国科学院,北京,北京,,,双一流,理工,本科,公办,,3145,,2026/6/15
61,中国社会科学院大学,中国社会科学院,北京,北京,,,,综合,本科,公办,,3254,,2026/6/15
62,北京科技职业大学,北京市,北京,北京,,,,,本科,公办,,818,,2026/6/15
63,民政职业大学,民政部,北京,北京,,,,0,本科,公办,,2294,,2026/6/15
64,南开大学,教育部,天津,天津,985,211,双一流,综合,本科,公办,,59,,2026/6/15
65,天津大学,教育部,天津,天津,985,211,双一流,理工,本科,公办,,60,,2026/6/15
66,天津科技大学,天津市,天津,天津,,,,理工,本科,公办,,82,,2026/6/15
67,天津工业大学,天津市,天津,天津,,,双一流,理工,本科,公办,,80,,2026/6/15
68,中国民航大学,交通运输部（中国民用航空局）,天津,天津,,,,理工,本科,公办,,88,,2026/6/15
69,天津理工大学,天津市,天津,天津,,,,理工,本科,公办,,81,,2026/6/15
70,天津农学院,天津市,天津,天津,,,,0,本科,公办,,93,,2026/6/15
71,天津医科大学,天津市,天津,天津,,211,双一流,医药,本科,公办,,78,,2026/6/15
72,天津中医药大学,天津市,天津,天津,,,双一流,医药,本科,公办,,89,,2026/6/15
73,天津师范大学,天津市,天津,天津,,,,师范,本科,公办,,79,,2026/6/15
74,天津职业技术师范大学,天津市,天津,天津,,,,0,本科,公办,,90,,2026/6/15
75,天津外国语大学,天津市,天津,天津,,,,语言,本科,公办,,87,,2026/6/15
76,天津商业大学,天津市,天津,天津,,,,0,本科,公办,,85,,2026/6/15
77,天津财经大学,天津市,天津,天津,,,,财经,本科,公办,,84,,2026/6/15
78,天津体育学院,天津市,天津,天津,,,,体育,本科,公办,,92,,2026/6/15
79,天津音乐学院,天津市,天津,天津,,,,0,本科,公办,,94,省份=,2026/6/15
80,天津美术学院,天津市,天津,天津,,,,0,本科,公办,,95,科类=历史类,2026/6/15
81,天津城建大学,天津市,天津,天津,,,,0,本科,公办,,91,,2026/6/15
82,天津中德应用技术大学,天津市,天津,天津,,,,0,本科,公办,,858,年份=年份,2026/6/15
83,天津职业大学,,天津,天津,,,,,本科,公办,,846,批次=专科批,2026/6/15
84,天津警察学院,天津市,天津,天津,,,,,本科,公办,,840,,2026/6/15
85,河北大学,河北省,河北,保定,,,,综合,本科,公办,,54,年份=年份,2026/6/15
86,河北工程大学,河北省,河北,邯郸,,,,理工,本科,公办,,602,,2026/6/15
87,河北地质大学,河北省,河北,石家庄,,,,0,本科,公办,,606,,2026/6/15
88,河北工业大学,河北省,天津,天津,,211,双一流,理工,本科,公办,,41,,2026/6/15
89,华北理工大学,河北省,河北,唐山,,,,综合,本科,公办,,597,,2026/6/15
90,河北科技大学,河北省,河北,石家庄,,,,理工,本科,公办,,55,年份=年份,2026/6/15
91,河北建筑工程学院,河北省,河北,张家口,,,,0,本科,公办,,603,年份=年份,2026/6/15
92,河北水利电力学院,河北省,河北,沧州,,,,0,本科,公办,,688,年份=年份,2026/6/15
93,河北农业大学,河北省,河北,保定,,,,农林,本科,公办,,598,年份=年份,2026/6/15
94,河北医科大学,河北省,河北,石家庄,,,,医药,本科,公办,,596,,2026/6/15
95,河北北方学院,河北省,河北,张家口,,,,0,本科,公办,,601,,2026/6/15
96,承德医学院,河北省,河北,承德,,,,0,本科,公办,,600,,2026/6/15
97,河北师范大学,河北省,河北,石家庄,,,,师范,本科,公办,,595,,2026/6/15
98,保定学院,河北省,河北,保定,,,,0,本科,公办,,650,年份=年份,2026/6/15
99,河北民族师范学院,河北省,河北,承德,,,,0,本科,公办,,691,年份=年份,2026/6/15
100,唐山师范学院,河北省,河北,唐山,,,,0,本科,公办,,624,年份=年份,2026/6/15
101,廊坊师范学院,河北省,河北,廊坊,,,,0,本科,公办,,625,年份=年份,2026/6/15
102,衡水学院,河北省,河北,衡水,,,,0,本科,公办,,627,,2026/6/15
103,石家庄学院,河北省,河北,石家庄,,,,0,本科,公办,,628,年份=年份,2026/6/15
104,邯郸学院,河北省,河北,邯郸,,,,0,本科,公办,,629,,2026/6/15
105,邢台学院,河北省,河北,邢台,,,,0,本科,公办,,609,,2026/6/15
106,沧州师范学院,河北省,河北,沧州,,,,0,本科,公办,,651,,2026/6/15
107,石家庄铁道大学,河北省,河北,石家庄,,,,理工,本科,公办,,607,,2026/6/15
108,燕山大学,河北省,河北,秦皇岛,,,,理工,本科,公办,,599,,2026/6/15
109,河北科技师范学院,河北省,河北,秦皇岛,,,,0,本科,公办,,1258,年份=年份,2026/6/15
110,唐山学院,河北省,河北,唐山,,,,0,本科,公办,,608,年份=年份,2026/6/15
111,应急管理大学,,河北,廊坊,,,,,本科,公办,,3831,省份=,2026/6/15
112,中国人民警察大学,公安部,河北,廊坊,,,,政法,本科,公办,,610,,2026/6/15
113,河北体育学院,河北省,河北,石家庄,,,,0,本科,公办,,626,年份=年份,2026/6/15
114,河北金融学院,河北省,河北,保定,,,,0,本科,公办,,692,,2026/6/15
115,北华航天工业学院,河北省,河北,廊坊,,,,0,本科,公办,,687,,2026/6/15
116,河北经贸大学,河北省,河北,石家庄,,,,0,本科,公办,,56,年份=年份,2026/6/15
117,中央司法警官学院,司法部,河北,保定,,,,0,本科,公办,,611,批次=本科提前批,2026/6/15
118,河北工业职业技术大学,河北省,河北,石家庄,,,,0,本科,公办,,698,,2026/6/15
119,河北科技工程职业技术大学,河北省,河北,邢台,,,,0,本科,公办,,697,,2026/6/15
120,河北石油职业技术大学,河北省,河北,承德,,,,0,本科,公办,,689,,2026/6/15
121,河北中医药大学,河北省,河北,石家庄,,,,0,本科,公办,,3055,,2026/6/15
122,张家口学院,河北省,河北,张家口,,,,0,本科,公办,,2902,年份=年份,2026/6/15
123,河北环境工程学院,河北省,河北,秦皇岛,,,,0,本科,公办,,2855,,2026/6/15
124,唐山工业职业技术大学,河北省,河北,唐山,,,,0,本科,公办,,720,年份=年份,2026/6/15
125,邢台医学院,河北省,河北,邢台,,,,0,本科,公办,,690,,2026/6/15
126,山西大学,山西省,山西,太原,,,双一流,综合,本科,公办,,262,,2026/6/15
127,太原科技大学,山西省,山西,太原,,,,理工,本科,公办,,278,,2026/6/15
128,中北大学,山西省,山西,太原,,,,理工,本科,公办,,277,,2026/6/15
129,太原理工大学,山西省,山西,太原,,211,双一流,理工,本科,公办,,139,,2026/6/15
130,山西农业大学,山西省,山西,晋中,,,,农林,本科,公办,,269,,2026/6/15
131,山西医科大学,山西省,山西,太原,,,,医药,本科,公办,,271,,2026/6/15
132,长治医学院,山西省,山西,长治,,,,0,本科,公办,,279,,2026/6/15
133,山西师范大学,山西省,山西,太原,,,,师范,本科,公办,,272,,2026/6/15
134,太原师范学院,山西省,山西,太原,,,,0,本科,公办,,282,年份=年份,2026/6/15
135,山西大同大学,山西省,山西,大同,,,,0,本科,公办,,281,,2026/6/15
136,晋中学院,山西省,山西,晋中,,,,0,本科,公办,,921,年份=年份,2026/6/15
137,长治学院,山西省,山西,长治,,,,0,本科,公办,,1257,年份=年份,2026/6/15
138,运城学院,山西省,山西,运城,,,,0,本科,公办,,920,年份=年份,2026/6/15
139,忻州师范学院,山西省,山西,忻州,,,,0,本科,公办,,280,,2026/6/15
140,山西财经大学,山西省,山西,太原,,,,财经,本科,公办,,275,,2026/6/15
141,山西中医药大学,山西省,山西,太原,,,,0,本科,公办,,919,,2026/6/15
142,吕梁学院,山西省,山西,吕梁,,,,0,本科,公办,,1638,,2026/6/15
143,太原学院,山西省,山西,太原,,,,0,本科,公办,,1642,,2026/6/15
144,山西警察学院,山西省,山西,太原,,,,0,本科,公办,,1640,年份=年份,2026/6/15
145,山西工程科技职业大学,山西省,山西,太原,,,,0,本科,公办,,1665,年份=年份,2026/6/15
146,山西工学院,山西省,山西,朔州,,,,0,本科,公办,,2325,,2026/6/15
147,山西电子科技学院,山西省,山西,临汾,,,,0,本科,公办,,2327,,2026/6/15
148,山西科技学院,山西省,山西,晋城,,,,0,本科,公办,,2329,,2026/6/15
149,太原工业学院,山西省,山西,太原,,,,0,本科,公办,,1134,,2026/6/15
150,山西传媒学院,山西省,山西,太原,,,,0,本科,公办,,2862,,2026/6/15
151,山西工程技术学院,山西省,山西,阳泉,,,,0,本科,公办,,1650,,2026/6/15
152,山西能源学院,山西省,山西,晋中,,,,0,本科,公办,,3064,年份=年份,2026/6/15
153,山西文化旅游职业大学,山西省,山西,太原,,,,,本科,公办,,1644,年份=年份,2026/6/15
154,内蒙古大学,内蒙古自治区,内蒙古,呼和浩特,,211,双一流,综合,本科,公办,,32,,2026/6/15
155,内蒙古科技大学,内蒙古自治区,内蒙古,包头,,,,综合,本科,公办,,505,,2026/6/15
156,内蒙古工业大学,内蒙古自治区,内蒙古,呼和浩特,,,,理工,本科,公办,,508,,2026/6/15
157,内蒙古农业大学,内蒙古自治区,内蒙古,呼和浩特,,,,农林,本科,公办,,517,,2026/6/15
158,内蒙古医科大学,内蒙古自治区,内蒙古,呼和浩特,,,,0,本科,公办,,525,,2026/6/15
159,内蒙古师范大学,内蒙古自治区,内蒙古,呼和浩特,,,,师范,本科,公办,,519,,2026/6/15
160,内蒙古民族大学,内蒙古自治区,内蒙古,通辽,,,,0,本科,公办,,506,,2026/6/15
161,赤峰大学,,内蒙古,赤峰,,,,,本科,公办,,1042,年份=年份,2026/6/15
162,内蒙古财经大学,内蒙古自治区,内蒙古,呼和浩特,,,,0,本科,公办,,529,年份=年份,2026/6/15
163,呼伦贝尔学院,内蒙古自治区,内蒙古,呼伦贝尔,,,,0,本科,公办,,1242,年份=年份,2026/6/15
164,集宁师范学院,内蒙古自治区,内蒙古,乌兰察布,,,,0,本科,公办,,1550,年份=年份,2026/6/15
165,河套学院,内蒙古自治区,内蒙古,巴彦淖尔,,,,0,本科,公办,,1624,年份=年份,2026/6/15
166,呼和浩特民族学院,内蒙古自治区,内蒙古,呼和浩特,,,,0,本科,公办,,2316,年份=年份,2026/6/15
167,内蒙古艺术学院,内蒙古自治区,内蒙古,呼和浩特,,,,0,本科,公办,,3215,年份=年份,2026/6/15
168,鄂尔多斯应用技术学院,内蒙古自治区,内蒙古,鄂尔多斯,,,,0,本科,公办,,3271,年份=年份,2026/6/15
169,内蒙古建筑职业技术大学,内蒙古自治区,内蒙古,呼和浩特,,,,,本科,公办,,1574,年份=年份,2026/6/15
170,兴安职业技术大学,内蒙古自治区,内蒙古,兴安,,,,,本科,公办,,1625,年份=年份,2026/6/15
171,呼和浩特职业技术大学,内蒙古自治区,内蒙古,呼和浩特,,,,,本科,公办,,1626,年份=年份,2026/6/15
172,内蒙古警察学院,内蒙古自治区,内蒙古,呼和浩特,,,,,本科,公办,,1629,年份=年份,2026/6/15
173,辽宁大学,辽宁省,辽宁,沈阳,,211,双一流,综合,本科,公办,,50,,2026/6/15
174,大连理工大学,教育部,辽宁,大连,985,211,双一流,理工,本科,公办,,138,,2026/6/15
175,沈阳工业大学,辽宁省,辽宁,沈阳,,,,理工,本科,公办,,227,,2026/6/15
176,沈阳航空航天大学,辽宁省,辽宁,沈阳,,,,理工,本科,公办,,209,,2026/6/15
177,沈阳理工大学,辽宁省,辽宁,沈阳,,,,理工,本科,公办,,217,,2026/6/15
178,东北大学,教育部,辽宁,沈阳,985,211,双一流,理工,本科,公办,,134,,2026/6/15
179,辽宁科技大学,辽宁省,辽宁,鞍山,,,,理工,本科,公办,,222,,2026/6/15
180,辽宁工程技术大学,辽宁省,辽宁,阜新,,,,理工,本科,公办,,786,,2026/6/15
181,辽宁石油化工大学,辽宁省,辽宁,抚顺,,,,理工,本科,公办,,223,,2026/6/15
182,沈阳化工大学,辽宁省,辽宁,沈阳,,,,理工,本科,公办,,215,,2026/6/15
183,大连交通大学,辽宁省,辽宁,大连,,,,理工,本科,公办,,220,,2026/6/15
184,大连海事大学,交通运输部,辽宁,大连,,211,双一流,理工,本科,公办,,33,,2026/6/15
185,大连工业大学,辽宁省,辽宁,大连,,,,理工,本科,公办,,211,,2026/6/15
186,沈阳建筑大学,辽宁省,辽宁,沈阳,,,,理工,本科,公办,,212,,2026/6/15
187,辽宁工业大学,辽宁省,辽宁,锦州,,,,0,本科,公办,,213,年份=年份,2026/6/15
188,沈阳农业大学,辽宁省,辽宁,沈阳,,,,农林,本科,公办,,228,,2026/6/15
189,大连海洋大学,辽宁省,辽宁,大连,,,,农林,本科,公办,,210,,2026/6/15
190,中国医科大学,辽宁省,辽宁,沈阳,,,,医药,本科,公办,,230,,2026/6/15
191,锦州医科大学,辽宁省,辽宁,锦州,,,,0,本科,公办,,207,,2026/6/15
192,大连医科大学,辽宁省,辽宁,大连,,,,医药,本科,公办,,219,,2026/6/15
193,辽宁中医药大学,辽宁省,辽宁,沈阳,,,,医药,本科,公办,,205,,2026/6/15
194,沈阳药科大学,辽宁省,辽宁,沈阳,,,,医药,本科,公办,,226,,2026/6/15
195,沈阳医学院,辽宁省,辽宁,沈阳,,,,0,本科,公办,,202,,2026/6/15
196,辽宁师范大学,辽宁省,辽宁,大连,,,,师范,本科,公办,,225,,2026/6/15
197,沈阳师范大学,辽宁省,辽宁,沈阳,,,,师范,本科,公办,,221,,2026/6/15
198,渤海大学,辽宁省,辽宁,锦州,,,,综合,本科,公办,,214,,2026/6/15
199,鞍山师范学院,辽宁省,辽宁,鞍山,,,,0,本科,公办,,204,,2026/6/15
200,大连外国语大学,辽宁省,辽宁,大连,,,,语言,本科,公办,,216,,2026/6/15
201,东北财经大学,辽宁省,辽宁,大连,,,,财经,本科,公办,,229,,2026/6/15
202,中国刑事警察学院,公安部,辽宁,沈阳,,,,政法,本科,公办,,201,,2026/6/15
203,沈阳体育学院,辽宁省,辽宁,沈阳,,,,0,本科,公办,,203,,2026/6/15
204,沈阳音乐学院,辽宁省,辽宁,沈阳,,,,0,本科,公办,,206,,2026/6/15
205,鲁迅美术学院,辽宁省,辽宁,沈阳,,,,0,本科,公办,,200,年份=年份,2026/6/15
206,沈阳大学,辽宁省,辽宁,沈阳,,,,0,本科,公办,,224,,2026/6/15
207,大连大学,辽宁省,辽宁,大连,,,,综合,本科,公办,,218,,2026/6/15
208,辽宁科技学院,辽宁省,辽宁,本溪,,,,0,本科,公办,,1067,年份=年份,2026/6/15
209,辽宁警察学院,辽宁省,辽宁,大连,,,,0,本科,公办,,1212,年份=年份,2026/6/15
210,沈阳工程学院,辽宁省,辽宁,沈阳,,,,0,本科,公办,,1041,,2026/6/15
211,辽东学院,辽宁省,辽宁,丹东,,,,0,本科,公办,,188,年份=年份,2026/6/15
212,大连民族大学,国家民委,辽宁,大连,,,,0,本科,公办,,208,,2026/6/15
213,营口理工学院,辽宁省,辽宁,营口,,,,0,本科,公办,,3061,年份=年份,2026/6/15
214,朝阳师范学院,辽宁省,辽宁,朝阳,,,,0,本科,公办,,1671,年份=年份,2026/6/15
215,吉林大学,教育部,吉林,长春,985,211,双一流,综合,本科,公办,,122,,2026/6/15
216,延边大学,吉林省,吉林,延边,,211,双一流,综合,本科,公办,,129,,2026/6/15
217,长春理工大学,吉林省,吉林,长春,,,,理工,本科,公办,,379,,2026/6/15
218,东北电力大学,吉林省,吉林,吉林市,,,,理工,本科,公办,,393,,2026/6/15
219,长春工业大学,吉林省,吉林,长春,,,,理工,本科,公办,,381,,2026/6/15
220,吉林建筑大学,吉林省,吉林,长春,,,,0,本科,公办,,395,,2026/6/15
221,吉林化工大学,吉林省,吉林,吉林市,,,,,本科,公办,,400,年份=年份,2026/6/15
222,吉林农业大学,吉林省,吉林,长春,,,,农林,本科,公办,,384,,2026/6/15
223,长春中医药大学,吉林省,吉林,长春,,,,医药,本科,公办,,404,,2026/6/15
224,东北师范大学,教育部,吉林,长春,,211,双一流,师范,本科,公办,,142,,2026/6/15
225,北华大学,吉林省,吉林,吉林市,,,,综合,本科,公办,,374,,2026/6/15
226,通化师范学院,吉林省,吉林,通化,,,,0,本科,公办,,408,年份=年份,2026/6/15
227,吉林师范大学,吉林省,吉林,四平,,,,师范,本科,公办,,390,,2026/6/15
228,吉林工程技术师范学院,吉林省,吉林,长春,,,,0,本科,公办,,405,年份=年份,2026/6/15
229,长春师范大学,吉林省,吉林,长春,,,,0,本科,公办,,387,,2026/6/15
230,白城师范学院,吉林省,吉林,白城,,,,0,本科,公办,,410,,2026/6/15
231,吉林财经大学,吉林省,吉林,长春,,,,财经,本科,公办,,412,,2026/6/15
232,吉林体育学院,吉林省,吉林,长春,,,,0,本科,公办,,413,年份=年份,2026/6/15
233,吉林艺术学院,吉林省,吉林,长春,,,,0,本科,公办,,1291,年份=年份,2026/6/15
234,吉林工商学院,吉林省,吉林,长春,,,,0,本科,公办,,1604,,2026/6/15
235,长春工程学院,吉林省,吉林,长春,,,,0,本科,公办,,394,,2026/6/15
236,吉林农业科技学院,吉林省,吉林,吉林市,,,,0,本科,公办,,1014,,2026/6/15
237,吉林警察学院,吉林省,吉林,长春,,,,0,本科,公办,,1606,年份=年份,2026/6/15
238,长春大学,吉林省,吉林,长春,,,,0,本科,公办,,377,,2026/6/15
239,吉林医药学院,吉林省,吉林,吉林市,,,,0,本科,公办,,1047,年份=年份,2026/6/15
240,长春汽车职业技术大学,吉林省,吉林,长春,,,,0,本科,公办,,1546,,2026/6/15
241,长春职业技术大学,吉林省,吉林,长春,,,,,本科,公办,,1616,年份=年份,2026/6/15
242,吉林铁道职业技术大学,吉林省,吉林,吉林市,,,,,本科,公办,,1618,,2026/6/15
243,黑龙江大学,黑龙江省,黑龙江,哈尔滨,,,,综合,本科,公办,,421,,2026/6/15
244,哈尔滨工业大学,工业和信息化部,黑龙江,哈尔滨,985,211,双一流,理工,本科,公办,,34,,2026/6/15
245,哈尔滨理工大学,黑龙江省,黑龙江,哈尔滨,,,,理工,本科,公办,,426,,2026/6/15
246,哈尔滨工程大学,工业和信息化部,黑龙江,哈尔滨,,211,双一流,理工,本科,公办,,124,,2026/6/15
247,黑龙江科技大学,黑龙江省,黑龙江,哈尔滨,,,,0,本科,公办,,450,,2026/6/15
248,东北石油大学,黑龙江省,黑龙江,大庆,,,,理工,本科,公办,,446,,2026/6/15
249,佳木斯大学,黑龙江省,黑龙江,佳木斯,,,,0,本科,公办,,422,,2026/6/15
250,黑龙江八一农垦大学,黑龙江省,黑龙江,大庆,,,,农林,本科,公办,,427,年份=年份,2026/6/15
251,东北农业大学,黑龙江省,黑龙江,哈尔滨,,211,双一流,农林,本科,公办,,137,,2026/6/15
252,东北林业大学,教育部,黑龙江,哈尔滨,,211,双一流,农林,本科,公办,,419,,2026/6/15
253,哈尔滨医科大学,黑龙江省,黑龙江,哈尔滨,,,,医药,本科,公办,,429,,2026/6/15
254,黑龙江中医药大学,黑龙江省,黑龙江,哈尔滨,,,,医药,本科,公办,,441,,2026/6/15
255,牡丹江医科大学,黑龙江省,黑龙江,牡丹江,,,,0,本科,公办,,453,,2026/6/15
256,哈尔滨师范大学,黑龙江省,黑龙江,哈尔滨,,,,师范,本科,公办,,1062,,2026/6/15
257,齐齐哈尔大学,黑龙江省,黑龙江,齐齐哈尔,,,,综合,本科,公办,,424,,2026/6/15
258,牡丹江师范学院,黑龙江省,黑龙江,牡丹江,,,,0,本科,公办,,442,,2026/6/15
259,哈尔滨学院,黑龙江省,黑龙江,哈尔滨,,,,0,本科,公办,,447,,2026/6/15
260,大庆师范学院,黑龙江省,黑龙江,大庆,,,,0,本科,公办,,1012,年份=年份,2026/6/15
261,绥化学院,黑龙江省,黑龙江,绥化,,,,0,本科,公办,,1063,年份=年份,2026/6/15
262,哈尔滨商业大学,黑龙江省,黑龙江,哈尔滨,,,,财经,本科,公办,,444,,2026/6/15
263,哈尔滨体育学院,黑龙江省,黑龙江,哈尔滨,,,,0,本科,公办,,2189,,2026/6/15
264,哈尔滨金融学院,黑龙江省,黑龙江,哈尔滨,,,,0,本科,公办,,711,,2026/6/15
265,齐齐哈尔医学院,黑龙江省,黑龙江,齐齐哈尔,,,,0,本科,公办,,454,,2026/6/15
266,黑龙江工业学院,黑龙江省,黑龙江,鸡西,,,,0,本科,公办,,765,年份=年份,2026/6/15
267,黑龙江工程学院,黑龙江省,黑龙江,哈尔滨,,,,0,本科,公办,,449,,2026/6/15
268,黑河学院,黑龙江省,黑龙江,黑河,,,,0,本科,公办,,1045,,2026/6/15
269,哈尔滨音乐学院,黑龙江省,黑龙江,哈尔滨,,,,0,本科,公办,,3270,年份=年份,2026/6/15
270,哈尔滨建筑科技职业大学,,黑龙江,哈尔滨,,,,,本科,公办,,715,,2026/6/15
271,黑龙江农业工程职业技术大学,,黑龙江,哈尔滨,,,,,本科,公办,,738,,2026/6/15
272,哈尔滨职业技术大学,黑龙江省,黑龙江,哈尔滨,,,,0,本科,公办,,713,,2026/6/15
273,复旦大学,教育部,上海,上海,985,211,双一流,综合,本科,公办,,132,,2026/6/15
274,同济大学,教育部,上海,上海,985,211,双一流,理工,本科,公办,,73,,2026/6/15
275,上海交通大学,教育部,上海,上海,985,211,双一流,综合,本科,公办,,125,,2026/6/15
276,华东理工大学,教育部,上海,上海,,211,双一流,理工,本科,公办,,133,,2026/6/15
277,上海理工大学,上海市,上海,上海,,,,理工,本科,公办,,307,,2026/6/15
278,上海海事大学,上海市,上海,上海,,,,理工,本科,公办,,313,,2026/6/15
279,东华大学,教育部,上海,上海,,211,双一流,理工,本科,公办,,135,,2026/6/15
280,上海电力大学,上海市,上海,上海,,,,理工,本科,公办,,317,,2026/6/15
281,上海应用技术大学,上海市,上海,上海,,,,0,本科,公办,,315,,2026/6/15
282,上海健康医学院,上海市,上海,上海,,,,0,本科,公办,,3194,,2026/6/15
283,上海海洋大学,上海市,上海,上海,,,双一流,农林,本科,公办,,309,,2026/6/15
284,上海中医药大学,上海市,上海,上海,,,双一流,医药,本科,公办,,310,年份=年份,2026/6/15
285,华东师范大学,教育部,上海,上海,985,211,双一流,师范,本科,公办,,131,,2026/6/15
286,上海师范大学,上海市,上海,上海,,,,师范,本科,公办,,311,,2026/6/15
